epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1599.5,0.98966,0.5792,0.92932,0.88236,0.83309,0.88424,0.60974,1.02916,0.5614,0.9322,0.00364017,0.00364017,0.00364017
43,1636.56,0.98485,0.57578,0.92785,0.88397,0.83971,0.88976,0.62216,0.9908,0.5544,0.92546,0.003607,0.003607,0.003607
44,1675.39,0.98538,0.57755,0.92693,0.88719,0.82917,0.88692,0.6078,1.0376,0.55835,0.93253,0.00357383,0.00357383,0.00357383
45,1712.15,0.98273,0.5766,0.92935,0.88524,0.83065,0.88566,0.61606,1.00327,0.55509,0.92768,0.00354067,0.00354067,0.00354067
46,1749.8,0.98161,0.57469,0.92793,0.88341,0.84004,0.88976,0.62424,0.9858,0.54905,0.92363,0.0035075,0.0035075,0.0035075
47,1786.71,0.97662,0.57737,0.92708,0.86842,0.81681,0.87089,0.57732,1.11041,0.58796,0.95947,0.00347433,0.00347433,0.00347433
48,1823.39,0.97334,0.57235,0.92396,0.88285,0.83565,0.88745,0.61798,0.99769,0.55381,0.92421,0.00344117,0.00344117,0.00344117
49,1861,0.98066,0.57034,0.92571,0.88136,0.83202,0.88466,0.60402,1.03854,0.56791,0.9386,0.003408,0.003408,0.003408
50,1898.12,0.97082,0.5687,0.92335,0.8854,0.83867,0.89003,0.6156,1.01164,0.55413,0.93052,0.00337483,0.00337483,0.00337483
51,1935.55,0.9683,0.56749,0.9236,0.89275,0.83656,0.89233,0.6278,0.98049,0.5401,0.92121,0.00334167,0.00334167,0.00334167
52,1973.75,0.97156,0.56685,0.92366,0.8851,0.83338,0.88701,0.61427,1.01318,0.55547,0.92877,0.0033085,0.0033085,0.0033085
53,2011.84,0.96715,0.56698,0.92497,0.88576,0.84544,0.89509,0.63195,0.96759,0.54475,0.91877,0.00327533,0.00327533,0.00327533
54,2049.27,0.96176,0.56286,0.92166,0.88929,0.84731,0.89645,0.63688,0.94525,0.52739,0.90984,0.00324217,0.00324217,0.00324217
55,2086.92,0.96071,0.56179,0.91871,0.88537,0.84559,0.89379,0.62631,0.98182,0.54048,0.92186,0.003209,0.003209,0.003209
56,2124.04,0.95793,0.56048,0.92307,0.89285,0.85262,0.9004,0.64552,0.92954,0.52049,0.90903,0.00317583,0.00317583,0.00317583
57,2161.25,0.95846,0.55962,0.91928,0.88959,0.84186,0.89127,0.62515,0.98475,0.53946,0.92279,0.00314267,0.00314267,0.00314267
58,2199.36,0.95479,0.55706,0.91949,0.88988,0.84538,0.89552,0.63019,0.97223,0.53294,0.91927,0.0031095,0.0031095,0.0031095
59,2237.07,0.95465,0.55722,0.92114,0.88496,0.84244,0.89111,0.62099,0.99405,0.54454,0.92555,0.00307633,0.00307633,0.00307633
60,2274.35,0.95036,0.55635,0.9183,0.89522,0.85226,0.90034,0.64242,0.94011,0.52343,0.91107,0.00304317,0.00304317,0.00304317
61,2311.35,0.94415,0.55399,0.91718,0.89719,0.84701,0.8987,0.64209,0.93778,0.52015,0.91023,0.00301,0.00301,0.00301
62,2348.42,0.94206,0.55104,0.91654,0.89084,0.84382,0.89466,0.62268,0.98924,0.53608,0.92224,0.00297683,0.00297683,0.00297683
63,2386.4,0.9442,0.55123,0.91498,0.89959,0.8486,0.90083,0.64564,0.92996,0.51621,0.90843,0.00294367,0.00294367,0.00294367
64,2423.92,0.94329,0.56034,0.9204,0.90201,0.8538,0.90424,0.65276,0.90864,0.50677,0.90342,0.0029105,0.0029105,0.0029105
65,2461.24,0.9411,0.54903,0.91594,0.89331,0.84735,0.89778,0.63232,0.96702,0.52966,0.91777,0.00287733,0.00287733,0.00287733
66,2498.68,0.93179,0.5452,0.91465,0.89643,0.84834,0.90025,0.63836,0.95137,0.52001,0.91378,0.00284417,0.00284417,0.00284417
67,2535.73,0.9346,0.54679,0.91323,0.903,0.85612,0.90658,0.6576,0.89753,0.50394,0.90111,0.002811,0.002811,0.002811
68,2574.13,0.93046,0.54543,0.91152,0.89075,0.84774,0.89688,0.62952,0.97202,0.53073,0.92042,0.00277783,0.00277783,0.00277783
69,2610.86,0.92946,0.54394,0.91492,0.89423,0.85206,0.90031,0.63813,0.95329,0.52063,0.91472,0.00274467,0.00274467,0.00274467
70,2648.05,0.9304,0.54389,0.91393,0.89762,0.85198,0.9017,0.64387,0.93705,0.51776,0.91092,0.0027115,0.0027115,0.0027115
71,2684.73,0.92972,0.5448,0.91249,0.89648,0.8498,0.89951,0.63883,0.94937,0.5189,0.91403,0.00267833,0.00267833,0.00267833
72,2721.67,0.92826,0.54091,0.91336,0.90003,0.85167,0.90277,0.64444,0.9369,0.51269,0.90995,0.00264517,0.00264517,0.00264517
73,2759.27,0.92596,0.54009,0.91103,0.899,0.85374,0.90426,0.64767,0.92697,0.50981,0.90749,0.002612,0.002612,0.002612
74,2797.35,0.92,0.5401,0.91078,0.89557,0.85247,0.90094,0.64,0.94761,0.51742,0.91305,0.00257883,0.00257883,0.00257883
75,2835.41,0.91603,0.53571,0.90802,0.89847,0.85605,0.90434,0.64867,0.92594,0.5088,0.90584,0.00254567,0.00254567,0.00254567
76,2872.85,0.91125,0.53435,0.90835,0.89841,0.85563,0.90464,0.64999,0.92062,0.50845,0.90536,0.0025125,0.0025125,0.0025125
77,2909.79,0.91499,0.53742,0.91006,0.89943,0.85379,0.90468,0.6491,0.924,0.50837,0.90696,0.00247933,0.00247933,0.00247933
78,2948.17,0.9132,0.53307,0.90734,0.89999,0.8556,0.90576,0.64795,0.92735,0.51021,0.90833,0.00244617,0.00244617,0.00244617
79,2985.5,0.90829,0.53185,0.90778,0.89806,0.85575,0.90506,0.64619,0.93486,0.51202,0.91051,0.002413,0.002413,0.002413
80,3023.14,0.91366,0.53608,0.90775,0.89885,0.85946,0.90724,0.65332,0.91192,0.5039,0.90484,0.00237983,0.00237983,0.00237983
81,3059.88,0.90604,0.52972,0.90655,0.89883,0.85674,0.906,0.64982,0.92186,0.50709,0.90727,0.00234667,0.00234667,0.00234667
82,3098.57,0.90288,0.52997,0.90909,0.89899,0.85611,0.90507,0.64574,0.93177,0.50957,0.90839,0.0023135,0.0023135,0.0023135
83,3136.41,0.90229,0.52818,0.90468,0.89978,0.85501,0.90475,0.64624,0.93048,0.50939,0.90835,0.00228033,0.00228033,0.00228033
84,3173.39,0.90083,0.52764,0.90541,0.8987,0.85734,0.90502,0.64755,0.9266,0.50883,0.90767,0.00224717,0.00224717,0.00224717
85,3210.93,0.8967,0.52527,0.9039,0.89896,0.85647,0.90565,0.64875,0.92576,0.50942,0.90796,0.002214,0.002214,0.002214
86,3247.94,0.89597,0.52563,0.90444,0.89864,0.85953,0.90685,0.65199,0.91822,0.50621,0.90612,0.00218083,0.00218083,0.00218083
87,3285.36,0.89364,0.52642,0.90514,0.90256,0.85654,0.90674,0.65098,0.92069,0.50642,0.90614,0.00214767,0.00214767,0.00214767
